Name,Gender,University,Department,Class,Which of the following topic(s) would you be most interested in reading about? [Set Theory/Model Theory],Which of the following topic(s) would you be most interested in reading about? [Category Theory],Which of the following topic(s) would you be most interested in reading about? [Real Analysis/Functional Analysis],Which of the following topic(s) would you be most interested in reading about? [Complex Analysis],Which of the following topic(s) would you be most interested in reading about? [Harmonic Analysis],Which of the following topic(s) would you be most interested in reading about? [Partial Differential Equations],Which of the following topic(s) would you be most interested in reading about? [Numerical Analysis],Which of the following topic(s) would you be most interested in reading about? [Group Theory],Which of the following topic(s) would you be most interested in reading about? [Representation Theory],Which of the following topic(s) would you be most interested in reading about? [Rings and Algebra],Which of the following topic(s) would you be most interested in reading about? [Algebraic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Analytic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Combinatorics],Which of the following topic(s) would you be most interested in reading about? [Graph Theory],Which of the following topic(s) would you be most interested in reading about? [Algebraic Geometry],Which of the following topic(s) would you be most interested in reading about? [Differential Geometry],Which of the following topic(s) would you be most interested in reading about? [General Topology],Which of the following topic(s) would you be most interested in reading about? [Algebraic Topology],Which of the following topic(s) would you be most interested in reading about? [Geometric Topology],Which of the following topic(s) would you be most interested in reading about? [Probability Theory],Which of the following topic(s) would you be most interested in reading about? [Statistics],Which of the following topic(s) would you be most interested in reading about? [Computer Algebra],Which of the following topic(s) would you be most interested in reading about? [Data Science],Which of the following topic(s) would you be most interested in reading about? [Cryptography/Coding theory],Which of the following topic(s) would you be most interested in reading about? [Mathematical Modeling],Which of the following topic(s) would you be most interested in reading about? [Classical Mechanics],Which of the following topic(s) would you be most interested in reading about? [Complex Systems/Dynamical Systems],Which of the following topic(s) would you be most interested in reading about? [Quantum Theory],Which of the following topic(s) would you be most interested in reading about? [Relativity and Quantum Relativistic Theories],Which of the following topic(s) would you be most interested in reading about? [Statistical Mechanics]
Student15,Male,Bilgi,Mathematics,4,,,,,,,,,,,,,,,,,,,"First Choice, Second Choice, Third Choice",,,,,,,,,,,
Student16,Male,GTU,Mathematics,4,,,Second Choice,First Choice,,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,
Student17,Male,Koc,Mathematics,1,,,First Choice,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,
Student18,Male,Bogazici,Mathematics,4,,,Third Choice,,Second Choice,First Choice,,,,,,,,,,,,,,,,,,,,,,,,
Student19,Female,Bogazici,Computer Engineering,3,,,,,,,,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,Second Choice,
Student20,Male,MSGSU,Mathematics,1,,,First Choice,,,,,Second Choice,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student21,Female,ODTU,Mathematics,2,,,,,,,,Third Choice,,,,,First Choice,Second Choice,,,,,,,,,,,,,,,,
Student22,Female,Bilkent,Physics,1,,,,,,,,Third Choice,,,,,,,,,Second Choice,,,,,,,,,,,,,First Choice
Student23,Male,Bogazici,Mathematics,3,,Third Choice,,,,,,,,,First Choice,,,,Second Choice,,,,,,,,,,,,,,,
Student24,Female,Bogazici,Physics,4,,,,,,,,,,,,,,,,,,,First Choice,,,,,,,,,Third Choice,Second Choice,
Student25,Prefer not to respond,ODTU,Mathematics,4,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,,,First Choice,Second Choice,
Student26,Female,Bilgi,Mathematics,3,,,,,,,,,Second Choice,,,,,,,,,First Choice,Third Choice,,,,,,,,,,,
Student27,Male,Bogazici,Computer Engineering & Mathematics,5+,,,,,,,Third Choice,,,,,,,,,,,,,Second Choice,,,First Choice,,,,,,,
Student28,Female,Galatasaray,Mathematics,4,,,,,,,,,,,,,,,First Choice,,,Second Choice,Third Choice,,,,,,,,,,,
Student29,Male,Bogazici,Mathematics,3,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,,,,,,,
Student30,Male,Georg August University,Physics & Mathematics ,2,,,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Third Choice,
Student31,Male,IYTE,Physics,4,,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,First Choice,
Student32,Female,MSGSU,Mathematics,4,,,,,,,,First Choice,,Second Choice,,,,,,,,,,,,,Third Choice,,,,,,,
Student33,Prefer not to respond,MSGSU,Mathematics,5+,,,,,,,,,,,,,,,Third Choice,,,Second Choice,First Choice,,,,,,,,,,,
Student34,Male,Koc,Physics,1,,,,,,Second Choice,,,,,,,,,,First Choice,,,Third Choice,,,,,,,,,,,
Student35,Male,Bilgi,Mathematics,5+,First Choice,,,,,,,Second Choice,,Third Choice,,,,,,,,,,,,,,,,,,,,
Student36,Female,GTU,Mathematics,5+,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,First Choice,,,,,,
Student37,Female,ODTU,Mathematics,4,First Choice,,Second Choice,,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student38,Female,ODTU,Mathematics,1,,,,,,,,First Choice,,,,,,,,,,,,,,,,Second Choice,,,,Third Choice,,
Student39,Female,Bogazici,Mathematics,2,,,,,,,,Second Choice,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,
Student40,Male,Ankara,Mathematics,1,First Choice,,,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,,
Student41,Male,Galatasaray,Mathematics,3,,,,,,,,,,,First Choice,,,,Second Choice,,,Third Choice,,,,,,,,,,,,
Student42,Female,YTU,Mathematics,3,,,,,,,,,,,,,,,,,,,,,,,Second Choice,First Choice,,,Third Choice,,,
Student43,Female,ODTU,Mathematics,3,,,First Choice,,,,,,,,,,,,,,,Third Choice,,,,,,,Second Choice,,,,,
Student44,Male,ODTU,Mathematics,2,,,,,,,,,,,,,Third Choice,,,,Second Choice,First Choice,,,,,,,,,,,,
Student45,Female,ODTU,Mathematics,3,,,,First Choice,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,
Student46,Male,ODTU,Mathematics,3,Third Choice,,,,,,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,
Student47,Male,Koc,Mathematics,4,,,First Choice,,,,,,,Second Choice,,,,,,,Third Choice,,,,,,,,,,,,,
Student48,Male,Bilkent,Mathematics,4,,Second Choice,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,,,,,,
Student49,Male,Galatasaray,Mathematics,3,,First Choice,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student50,Male,Bilkent,Mathematics,3,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,First Choice,,,
Student51,Male,Bogazici,Mathematics,3,,,,,,,,,,,Second Choice,,,,First Choice,,,Third Choice,,,,,,,,,,,,
Student52,Female,ODTU,Mathematics,2,,,,,,First Choice,,,,,,,,,,,,,,,,Third Choice,,,Second Choice,,,,,
Student53,Male,ODTU,Mathematics,3,,,First Choice,,,,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,
Student54,Male,Bogazici,EE & Physics,4,,,,,,,,,,,First Choice,,,,Second Choice,,,,,,,Third Choice,,,,,,,,
Student55,Male,ODTU,Mathematics,3,,,,Third Choice,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,
Student56,Male,ITU,Mathematics,2,,,,,,,,,,,,,,,First Choice,,Second Choice,,,Third Choice,,,,,,,,,,
Student57,Male,Dokuz Eylul,Mathematics,3,,,,,,,,,,,Second Choice,,,Third Choice,,,,,,,First Choice,,,,,,,,,
Student58,Male,ODTU,Mathematics,3,Second Choice,First Choice,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student59,Male,ODTU,Mathematics,3,Second Choice,First Choice,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student60,Male,Bogazici,Mathematics,2,Third Choice,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,,,,,,,,
Student61,Female,Adnan Menderes,Mathematics,4,,,,,,,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,
Student62,Male,MSGSU,Statistics & Mathematics,5+,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,,,,First Choice,,,,,,,
Student63,Male,Bogazici,Mathematics,3,,Second Choice,,,,,,Third Choice,First Choice,,,,,,,,,,,,,,,,,,,,,
Student64,Female,ODTU,Mathematics,3,First Choice,Third Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student65,Male,ODTU,Physics,5+,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,,,,,,,,,Second Choice,
Student66,Female,MSGSU,Mathematics,4,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,Third Choice,,,,,,
Student67,Non-binary,TOBB,Psychology & Mathematics,3,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,Third Choice,,First Choice,,,
Student68,Female,ODTU,Mathematics,5+,Third Choice,,,,,,,First Choice,,,,,,,,,,,,,,,Second Choice,,,,,,,
Student69,Female,ODTU,Mathematics,3,,,"First Choice, Second Choice",,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student70,Male,ITU,Mathematics,2,,,,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,First Choice,,,,,,,
Student71,Female,ODTU,Physics,5+,,,,,,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,Second Choice,,,,
Student72,Female,ODTU,Mathematics,2,,,Third Choice,,,,,,,,,,,,,,,,,,Second Choice,,First Choice,,,,,,,
Student73,Male,GTU,Mathematics,4,,,,,,,,,,,,Third Choice,,,Second Choice,,,First Choice,,,,,,,,,,,,
Student74,Female,IYTE,Mathematics,5+,,,,Second Choice,,,,,,Third Choice,,,,,,,,,,,,,First Choice,,,,,,,
Student75,Male,ODTU,Physics,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,Third Choice
Student76,Male,Bogazici,Mathematics,1,Third Choice,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,,,,,,
Student77,Female,Atilim,Mathematics,4,,,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,
Student78,Male,ODTU,Mathematics,5+,,Second Choice,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,,,,,,,
Student79,Male,ODTU,Physics,3,,,,,,,,First Choice,,Third Choice,,,,,,,Second Choice,,,,,,,,,,,,,
Student80,Male,Bogazici,Mathematics,3,,,,,,,,,Second Choice,,,,,Third Choice,,,First Choice,,,,,,,,,,,,,
Student81,Male,Koc,Mathematics,4,,Third Choice,Second Choice,,,,,,,,,,,,First Choice,,,,,,,,,,,,,,,
Student82,Non-binary,Bogazici,Mathematics,5+,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,,,,First Choice,,,,,,,
Student83,Female,Bogazici,Physics,2,,Second Choice,,,,,,,Third Choice,,,,,,,,,,First Choice,,,,,,,,,,,
Student84,Male,Bilgi,Mathematics,3,,,,,,,,,,Second Choice,,,,,,,,Third Choice,First Choice,,,,,,,,,,,
Student85,Female,ODTU,Mathematics,4,Second Choice,First Choice,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,,,
Student86,Female,Bilgi,Mathematics,2,First Choice,,,,,,,,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,
Student87,Male,ODTU,Computer Engineering & Mathematics,3,,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student88,Male,ODTU,Mathematics,4,First Choice,,Third Choice,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,,,
Student89,Female,Galatasaray,Mathematics,2,,,,,,,,,Third Choice,Second Choice,,,,,,,First Choice,,,,,,,,,,,,,
Student90,Female,GTU,Mathematics,4,,,,,,Second Choice,First Choice,,,,,,,,,Third Choice,,,,,,,,,,,,,,
