Name,Gender,Affiliation,Position,Areas of interest:,Which of the following topics do you feel confident supervising? [Set Theory/Model Theory],Which of the following topics do you feel confident supervising? [Category Theory],Which of the following topics do you feel confident supervising? [Real Analysis/Functional Analysis],Which of the following topics do you feel confident supervising? [Complex Analysis],Which of the following topics do you feel confident supervising? [Harmonic Analysis],Which of the following topics do you feel confident supervising? [Partial Differential Equations],Which of the following topics do you feel confident supervising? [Numerical Analysis],Which of the following topics do you feel confident supervising? [Group Theory],Which of the following topics do you feel confident supervising? [Representation Theory],Which of the following topics do you feel confident supervising? [Rings and Algebra],Which of the following topics do you feel confident supervising? [Algebraic Number Theory],Which of the following topics do you feel confident supervising? [Analytic Number Theory],Which of the following topics do you feel confident supervising? [Combinatorics],Which of the following topics do you feel confident supervising? [Graph Theory],Which of the following topics do you feel confident supervising? [Algebraic Geometry],Which of the following topics do you feel confident supervising? [Differential Geometry],Which of the following topics do you feel confident supervising? [General Topology],Which of the following topics do you feel confident supervising? [Algebraic Topology],Which of the following topics do you feel confident supervising? [Geometric Topology],Which of the following topics do you feel confident supervising? [Probability Theory],Which of the following topics do you feel confident supervising? [Statistics],Which of the following topics do you feel confident supervising? [Computer Algebra],Which of the following topics do you feel confident supervising? [Data Science],Which of the following topics do you feel confident supervising? [Cryptography/Coding theory],Which of the following topics do you feel confident supervising? [Mathematical Modeling],Which of the following topics do you feel confident supervising? [Classical Mechanics],Which of the following topics do you feel confident supervising? [Complex Systems/Dynamical Systems],Which of the following topics do you feel confident supervising? [Quantum Theory],Which of the following topics do you feel confident supervising? [Relativity and Quantum Relativistic Theories],Which of the following topics do you feel confident supervising? [Statistical Mechanics]
Mentor 25,Male,Queen's University,PhD student,"Arithmetic Geometry, Algebraic Number Theory, Quadratic Forms.",,,,,,,,,,,"First Choice,Second Choice",,,,"Third Choice,Fourth Choice",,,,,,,,,,,,,,,
Mentor 26,Male,Middle East Technical University,Master,"Discrete differential geometry, computational topology, topological data analysis",,,,,,,,,,,,,,,,Third Choice,First Choice,Fourth Choice,Second Choice,,,,,,,,,,,
Mentor 27,Prefer not to say,University of Georgia,PhD student,"Arithmetic Geometry, Algebraic Number Theory",,,,,,,,Fourth Choice,,Third Choice,First Choice,,,,Second Choice,,,,,,,,,,,,,,,
Mentor 28,Female,University of Southern California,PhD student,"Arithmetic algebraic geometry, algebraic number theory",,,,,,,,,Fourth Choice,,Second Choice,,,,First Choice,,,,,,,,,Third Choice,,,,,,
Mentor 29,Male,"University of Zurich, Institute of Mathematics",Postdoctoral researcher,"Algebraic/differential geometry, (higher) category theory, higher structures in geometry and physics, derived geometry, TQFTs",,First Choice,,,,,,,,,,,,,Second Choice,Third Choice,,,,,,,,,,,,,Fourth Choice,
Mentor 30,Male,University of Toledo,PhD student,"Symplectic Geometry and Dynamical systems, Contact topology & geometry",,,,,,,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,
Mentor 31,Male,TU Berlin,PhD student,"Computational Algebraic Geometry, Algorithmic Algebra, Complexity Theory, Invariant Theory",,,,,,,,,First Choice,,,,,,Second Choice,Fourth Choice,,,,,,Third Choice,,,,,,,,
Mentor 32,Male,University of Toronto,PhD student,"Arithmetic Statistics, Number Theory",,,,,,,,,Third Choice,,Second Choice,First Choice,,,Fourth Choice,,,,,,,,,,,,,,,
Mentor 33,Male,Bursa Technical University,PhD student,Graph Theory,,,,,,,,,,,,,,First Choice,,,,,,,,,,,,,,,,
Mentor 34,Male,Bilkent University,PhD student,"Applied Mathematics, Dynamical Systems, Delay Differential Equations, Networks and Graph Theory",,,,,,Second Choice,,,,,,,,Third Choice,,,,,,,,,,,Fourth Choice,,First Choice,,,
Mentor 35,Male,"Sabanci University, Istanbul, Turkey",PhD student,Combinatorial Commutative Algebra,,,,,,,,Second Choice,,First Choice,,,Third Choice,Fourth Choice,,,,,,,,,,,,,,,,
Mentor 36,Female,Hacettepe Üniversitesi,PhD student,"Low-Dimensional Topology, Contact Topology, Knot Theory",,,,,,,,,,,,,,,,,Third Choice,Second Choice,First Choice,,,,,,,,,,,
Mentor 37,Female,University of Kansas,PhD student,"Probability, Analysis",,,Third Choice,,,Second Choice,,,,,,,,,,,,,,First Choice,,,,,,,,,,Fourth Choice
Mentor 38,Male,Bursa Technical University,Master,Analysis,,,First Choice,Second Choice,,Third Choice,,,,,,,,,,,,,,,,,,,,,,,,
Mentor 39,Female,Sabancı University,PhD student,"Algebraic Number Theory, Elliptic Curves, Diophantine m-tuples, Arithmetic Dynamics",Fourth Choice,,,,,,,Second Choice,,Third Choice,First Choice,,,,,,,,,,,,,,,,,,,
Mentor 40,Female,Sabancı University,Master,Code-based Cryptography,,,,,,,,,,,,,,,,,,,,,,,,First Choice,,,,,,
Mentor 41,Female,University of Toledo,PhD student,"Supergeometry, Algebraic theory of differential operators",,,,,,,,,,,,,,,,First Choice,Fourth Choice,Second Choice,Third Choice,,,,,,,,,,,
Mentor 42,Male,Sabancı University,PhD student,Integer Partitions,,,,,,,,,,,,,First Choice,Second Choice,,,,,,,,,Third Choice,,,,Fourth Choice,,,
Mentor 43,Male,Queens,PhD student,"control theory, game theory, stochastic process",,,,,,,,,,,,,Third Choice,Second Choice,,,,,,First Choice,,,Fourth Choice,,,,,,,
Mentor 44,Female,Boston University,PhD student,"Information theory, machine learning",,,,,,,Fourth Choice,,,,,,,,,,,,,First Choice,Third Choice,,Second Choice,,,,,,,
