Name,Gender,University,Department,Class,Reference,Which of the following topic(s) would you be most interested in reading about? [Set Theory/Model Theory],Which of the following topic(s) would you be most interested in reading about? [Category Theory],Which of the following topic(s) would you be most interested in reading about? [Real Analysis/Functional Analysis],Which of the following topic(s) would you be most interested in reading about? [Complex Analysis],Which of the following topic(s) would you be most interested in reading about? [Harmonic Analysis],Which of the following topic(s) would you be most interested in reading about? [Partial Differential Equations],Which of the following topic(s) would you be most interested in reading about? [Numerical Analysis],Which of the following topic(s) would you be most interested in reading about? [Group Theory],Which of the following topic(s) would you be most interested in reading about? [Representation Theory],Which of the following topic(s) would you be most interested in reading about? [Rings and Algebra],Which of the following topic(s) would you be most interested in reading about? [Algebraic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Analytic Number Theory],Which of the following topic(s) would you be most interested in reading about? [Combinatorics],Which of the following topic(s) would you be most interested in reading about? [Graph Theory],Which of the following topic(s) would you be most interested in reading about? [Algebraic Geometry],Which of the following topic(s) would you be most interested in reading about? [Differential Geometry],Which of the following topic(s) would you be most interested in reading about? [General Topology],Which of the following topic(s) would you be most interested in reading about? [Algebraic Topology],Which of the following topic(s) would you be most interested in reading about? [Geometric Topology],Which of the following topic(s) would you be most interested in reading about? [Probability Theory],Which of the following topic(s) would you be most interested in reading about? [Statistics],Which of the following topic(s) would you be most interested in reading about? [Computer Algebra],Which of the following topic(s) would you be most interested in reading about? [Data Science],Which of the following topic(s) would you be most interested in reading about? [Cryptography/Coding theory],Which of the following topic(s) would you be most interested in reading about? [Mathematical Modeling],Which of the following topic(s) would you be most interested in reading about? [Classical Mechanics],Which of the following topic(s) would you be most interested in reading about? [Complex Systems/Dynamical Systems],Which of the following topic(s) would you be most interested in reading about? [Quantum Theory],Which of the following topic(s) would you be most interested in reading about? [Relativity and Quantum Relativistic Theories],Which of the following topic(s) would you be most interested in reading about? [Statistical Mechanics]
Student15,Male,Bilgi,Mathematics,4,12,,,,,,,,,,,,,,,,,,,"First Choice, Second Choice, Third Choice",,,,,,,,,,,
Student16,Male,GTU,Mathematics,4,8,,,Second Choice,First Choice,,,,,,,,Third Choice,,,,,,,,,,,,,,,,,,
Student17,Male,Koc,Mathematics,1,12,,,First Choice,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,
Student18,Male,Bogazici,Mathematics,4,8,,,Third Choice,,Second Choice,First Choice,,,,,,,,,,,,,,,,,,,,,,,,
Student19,Female,Bogazici,Computer Engineering,3,10,,,,,,,,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,Second Choice,
Student20,Male,MSGSU,Mathematics,1,12,,,First Choice,,,,,Second Choice,Third Choice,,,,,,,,,,,,,,,,,,,,,
Student21,Female,ODTU,Mathematics,2,11,,,,,,,,Third Choice,,,,,First Choice,Second Choice,,,,,,,,,,,,,,,,
Student22,Female,Bilkent,Physics,1,12,,,,,,,,Third Choice,,,,,,,,,Second Choice,,,,,,,,,,,,,First Choice
Student23,Male,Bogazici,Mathematics,3,12,,Third Choice,,,,,,,,,First Choice,,,,Second Choice,,,,,,,,,,,,,,,
Student24,Female,Bogazici,Physics,4,12,,,,,,,,,,,,,,,,,,,First Choice,,,,,,,,,Third Choice,Second Choice,
Student25,Prefer not to respond,ODTU,Mathematics,4,11,,,,,,,,,,,,,,,,,,,Third Choice,,,,,,,,,First Choice,Second Choice,
Student26,Female,Bilgi,Mathematics,3,11,,,,,,,,,Second Choice,,,,,,,,,First Choice,Third Choice,,,,,,,,,,,
Student27,Male,Bogazici,Computer Engineering & Mathematics,5+,12,,,,,,,Third Choice,,,,,,,,,,,,,Second Choice,,,First Choice,,,,,,,
Student28,Male,Bogazici,Mathematics,3,4,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,,,,,,,
Student29,Male,Georg August University,Physics & Mathematics ,2,0,,,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Third Choice,
Student30,Male,IYTE,Physics,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,First Choice,
Student31,Female,MSGSU,Mathematics,4,12,,,,,,,,First Choice,,Second Choice,,,,,,,,,,,,,Third Choice,,,,,,,
Student32,Prefer not to respond,MSGSU,Mathematics,5+,12,,,,,,,,,,,,,,,Third Choice,,,Second Choice,First Choice,,,,,,,,,,,
Student33,Male,Koc,Physics,1,12,,,,,,Second Choice,,,,,,,,,,First Choice,,,Third Choice,,,,,,,,,,,
Student34,Male,Bilgi,Mathematics,5+,7,First Choice,,,,,,,Second Choice,,Third Choice,,,,,,,,,,,,,,,,,,,,
Student35,Female,GTU,Mathematics,5+,6,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,First Choice,,,,,,
Student36,Female,ODTU,Mathematics,4,12,First Choice,,Second Choice,,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student37,Female,ODTU,Mathematics,1,12,,,,,,,,First Choice,,,,,,,,,,,,,,,,Second Choice,,,,Third Choice,,
Student38,Female,Bogazici,Mathematics,2,8,,,,,,,,Second Choice,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,
Student39,Male,Ankara,Mathematics,1,7,First Choice,,,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,,
Student40,Male,Galatasaray,Mathematics,3,11,,,,,,,,,,,First Choice,,,,Second Choice,,,Third Choice,,,,,,,,,,,,
Student41,Female,YTU,Mathematics,3,4,,,,,,,,,,,,,,,,,,,,,,,Second Choice,First Choice,,,Third Choice,,,
Student42,Female,ODTU,Mathematics,3,11,,,First Choice,,,,,,,,,,,,,,,Third Choice,,,,,,,Second Choice,,,,,
Student43,Male,ODTU,Mathematics,2,11,,,,,,,,,,,,,Third Choice,,,,Second Choice,First Choice,,,,,,,,,,,,
Student44,Female,ODTU,Mathematics,3,11,,,,First Choice,,,,,,,,,,,,,,,,,,,Second Choice,,Third Choice,,,,,
Student45,Male,ODTU,Mathematics,3,12,Third Choice,,,,,,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,
Student46,Male,Koc,Mathematics,4,12,,,First Choice,,,,,,,Second Choice,,,,,,,Third Choice,,,,,,,,,,,,,
Student47,Male,Bilkent,Mathematics,4,12,,Second Choice,,,,,,,,,,,,,,,Third Choice,First Choice,,,,,,,,,,,,
Student48,Male,Galatasaray,Mathematics,3,9,,First Choice,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,,,,,,,
Student49,Male,Bilkent,Mathematics,3,12,,,,,,,,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,First Choice,,,
Student50,Male,Bogazici,Mathematics,3,12,,,,,,,,,,,Second Choice,,,,First Choice,,,Third Choice,,,,,,,,,,,,
Student51,Female,ODTU,Mathematics,2,9,,,,,,First Choice,,,,,,,,,,,,,,,,Third Choice,,,Second Choice,,,,,
Student52,Male,ODTU,Mathematics,3,7,,,First Choice,,,,,,,,,,,,,,,,,Second Choice,,,,,,,,Third Choice,,
Student53,Male,ODTU,Mathematics,3,10,,,,Third Choice,,,,,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,
Student54,Male,ITU,Mathematics,2,12,,,,,,,,,,,,,,,First Choice,,Second Choice,,,Third Choice,,,,,,,,,,
Student55,Male,Dokuz Eylul,Mathematics,3,11,,,,,,,,,,,Second Choice,,,Third Choice,,,,,,,First Choice,,,,,,,,,
Student56,Male,Bogazici,Mathematics,2,12,Third Choice,,Second Choice,,,,,First Choice,,,,,,,,,,,,,,,,,,,,,,
Student57,Female,Adnan Menderes,Mathematics,4,11,,,,,,,,,,,,,,,,,Second Choice,Third Choice,First Choice,,,,,,,,,,,
Student58,Male,MSGSU,Statistics & Mathematics,5+,0,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,,,,First Choice,,,,,,,
Student59,Male,Bogazici,Mathematics,3,12,,Second Choice,,,,,,Third Choice,First Choice,,,,,,,,,,,,,,,,,,,,,
Student60,Female,ODTU,Mathematics,3,9,First Choice,Third Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student61,Male,ODTU,Physics,5+,10,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,,,,,,,,,Second Choice,
Student62,Female,MSGSU,Mathematics,4,12,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,Third Choice,,,,,,
Student63,Non-binary,TOBB,Psychology & Mathematics,3,10,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,Third Choice,,First Choice,,,
Student64,Female,ODTU,Mathematics,5+,11,Third Choice,,,,,,,First Choice,,,,,,,,,,,,,,,Second Choice,,,,,,,
Student65,Female,ODTU,Mathematics,3,7,,,"First Choice, Second Choice",,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,
Student66,Male,ITU,Mathematics,2,0,,,,,,,,,,,,,,,,,,,,Third Choice,Second Choice,,First Choice,,,,,,,
Student67,Female,ODTU,Physics,5+,12,,,,,,,,,,,,,,,,,,,,,Third Choice,,First Choice,,,Second Choice,,,,
Student68,Female,ODTU,Mathematics,2,11,,,Third Choice,,,,,,,,,,,,,,,,,,Second Choice,,First Choice,,,,,,,
Student69,Male,GTU,Mathematics,4,11,,,,,,,,,,,,Third Choice,,,Second Choice,,,First Choice,,,,,,,,,,,,
Student70,Female,IYTE,Mathematics,5+,3,,,,Second Choice,,,,,,Third Choice,,,,,,,,,,,,,First Choice,,,,,,,
Student71,Male,ODTU,Physics,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Choice,Second Choice,Third Choice
Student72,Male,Bogazici,Mathematics,1,12,Third Choice,,,,,,,,First Choice,,,,,,Second Choice,,,,,,,,,,,,,,,
Student73,Female,Atilim,Mathematics,4,11,,,First Choice,Second Choice,,,,,,,,,,,,,,,,,,,,,,,,,Third Choice,
Student74,Male,ODTU,Mathematics,5+,12,,Second Choice,,,,,,,,,,,,,,,,First Choice,,,,,Third Choice,,,,,,,
Student75,Male,ODTU,Physics,3,9,,,,,,,,First Choice,,Third Choice,,,,,,,Second Choice,,,,,,,,,,,,,
Student76,Male,Bogazici,Mathematics,3,8,,,,,,,,,Second Choice,,,,,Third Choice,,,First Choice,,,,,,,,,,,,,
Student77,Non-binary,Bogazici,Mathematics,5+,12,,,,,,,,,,,,,,,,Third Choice,,Second Choice,,,,,First Choice,,,,,,,
Student78,Female,Bogazici,Physics,2,6,,Second Choice,,,,,,,Third Choice,,,,,,,,,,First Choice,,,,,,,,,,,
Student79,Male,Bilgi,Mathematics,3,12,,,,,,,,,,Second Choice,,,,,,,,Third Choice,First Choice,,,,,,,,,,,
Student80,Female,ODTU,Mathematics,4,10,Second Choice,First Choice,,,,,,,,,,,,,Third Choice,,,,,,,,,,,,,,,
Student81,Female,Bilgi,Mathematics,2,8,First Choice,,,,,,,,,Second Choice,,,,Third Choice,,,,,,,,,,,,,,,,
Student82,Male,ODTU,Computer Engineering & Mathematics,3,12,,First Choice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student83,Male,ODTU,Mathematics,4,12,First Choice,,Third Choice,,,,,,,,,,,,,,Second Choice,,,,,,,,,,,,,
Student84,Female,Galatasaray,Mathematics,2,9,,,,,,,,,Third Choice,Second Choice,,,,,,,First Choice,,,,,,,,,,,,,
Student85,Female,GTU,Mathematics,4,8,,,,,,Second Choice,First Choice,,,,,,,,,Third Choice,,,,,,,,,,,,,,
